vehicleId,balance,bid,reputation,panelCount,paticipateCount,state
50_1000009_1__25,0,2.72,0.67,1,6,-1
18_1000009_1__29,0,0.98,0.66,1,6,-1
82_1000009_1__39,0,2.03,0.16,4,5,-1
16_1000009_1__70,0,2.47,0.48,2,5,-1
105_1000009_1__31,0,0.89,0.64,1,5,-1
16_1000009_1__17,0,1.56,0.65,1,5,-1
16_1000009_1__8,0,2.88,0.48,2,5,-1
50_1000009_1__32,0,0.79,0.48,2,5,-1
50_1000009_1__65,0,2.3,0.8,0,5,-1
18_1000009_1__10,0,0.74,0.8,0,4,-1
105_1000009_2__8,0,1.81,0.8,0,4,-1
16_1000009_1__104,0,0.83,0.72,1,4,-1
14_1000009_1__25,0,1.11,0.81,0,0,-1
1000002_1000009_1__33,0,2.64,0.67,1,6,-1
1000021_129_1__0,0,2.7,0.67,1,6,-1
1000002_1000009_1__23,0,0.69,0.27,4,6,-1
50_1000009_1__53,0,1.15,0.67,1,6,-1
18_1000009_1__0,0,2.07,0.4,3,6,-1
18_1000009_1__59,0,1.46,0.53,2,6,-1
50_1000009_1__79,0,2.2,0.4,3,6,-1
81_1000009_1__14,0,2.15,0.8,0,6,-1
18_1000009_1__6,0,1.02,0.67,1,6,-1
81_1000009_1__13,0,2.89,0.8,0,6,-1
1000021_1000009_1__18,0,0.9,0.67,1,6,-1
18_1000009_1__43,0,2.29,0.53,2,6,-1
82_1000009_1__11,0,1.5,0.8,0,6,-1
81_1000009_1__4,0,2.23,0.8,0,6,-1
18_1000009_1__18,0,2.76,0.67,1,6,-1
81_1000009_1__17,0,1.04,0.4,3,6,-1
81_1000009_1__8,0,2.17,0.67,1,6,-1
50_1000009_1__81,0,1.73,0.66,1,6,-1
1000021_129_1__2,0,1.77,0.48,2,5,-1
1000020_1000011_1__99,0,2.11,0.59,6,23,-1
1000020_50_1__48,0,2.89,0.73,2,23,-1
1000020_16_1__37,0,2.52,0.59,6,23,-1
1000020_1000005_1__26,0,1.73,0.66,4,23,-1
1000020_1000016_1__39,0,2.18,0.66,4,23,-1
71_1000011_1__29,0,1.24,0.59,6,23,-1
1000014_107_1__29,0,0.9,0.66,4,23,-1
1000020_107_1__41,0,0.96,0.5,9,23,-1
1000020_105_1__20,0,2.7,0.66,4,23,-1
20_1000011_1__17,0,0.84,0.59,6,23,-1
1000020_1000004_1__3,0,0.77,0.59,6,23,-1
1000020_1000011_1__102,0,1.92,0.69,3,23,-1
1000020_50_1__55,0,0.94,0.57,7,23,-1
1000020_128_1__4,0,1.57,0.49,8,21,-1
1000020_1000011_1__179,0,1.43,0.69,3,21,-1
1000020_1000005_1__17,0,3.0,0.53,5,15,-1
1000020_1000011_1__68,0,1.73,0.58,4,15,-1
1000020_1000011_1__33,0,1.08,0.58,4,15,-1
1000020_50_1__38,0,1.31,0.58,4,15,-1
